nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_08_21,02_08_21,03_08_21,04_08_21,05_08_21,06_08_21,07_08_21,08_08_21,09_08_21,10_08_21,11_08_21,12_08_21,13_08_21,14_08_21,15_08_21,16_08_21,17_08_21,18_08_21,19_08_21,20_08_21,total
Sento Sé,SO-CL-01,Sento Sé,Sento Sé - SO-CL-01,-9.782,-41.818999999999996,Norte,RPGA do Lago de Sobradinho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itaguaçu da Bahia,VJ-CL-03,Itaguaçu da Bahia,Itaguaçu da Bahia - VJ-CL-03,-10.955,-42.346000000000004,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibipeba,VJ-CL-02,Ibipeba,Ibipeba - VJ-CL-02,-11.627,-42.06399999999999,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguarari,IT-PR-28,Jaguarari,Jaguarari - IT-PR-28,-10.269,-40.2,Norte,RPGA do Rio Itapicuru,20.8,3.4,1.8,0.0,0.0,0.4,0.6,5.0,0.0,4.2,0.0,0.0,0.0,0.0,3.6,0.4,0.0,0.0,0.0,2.2,42.41
Mirangaba,IT-PR-29,Mirangaba,Mirangaba - IT-PR-29,-10.955,-40.575,Norte,RPGA do Rio Itapicuru,16.4,2.4,3.2,0.2,0.4,3.6,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,0.0,0.8,0.0,0.4,39.6
Fazenda Santa Luzia,CA-CL-01,Cocos,Cocos (Fazenda Santa Luzia) - CA-CL-01,-14.855,-45.93600000000001,Oeste,RPGA do Rio Carinhanha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fazenda Morinaga,CT-CL-01,Correntina,Correntina (Fazenda Morinaga) - CT-CL-01,-13.752,-45.87,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fazenda Barcelona,GR-CL-03,Formosa do Rio Preto,Formosa do Rio Preto (Fazenda Barcelona) - GR-CL-03,-11.591,-46.022,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
J. Zoológico,A401,Salvador,Salvador (J. Zoológico) - A401,-13.005999999999998,-38.506,Recôncavo,RPGA do Recôncavo Norte,0.6,10.0,28.0,0.0,4.6,16.4,2.2,57.4,14.8,0.0,0.2,0.0,1.2,3.6,1.8,0.2,1.2,5.2,1.8,0.0,149.2
Periperi,292740820A,Salvador,Salvador (Periperi) - 292740820A,-12.867,-38.458,Recôncavo,RPGA do Recôncavo Norte,2.2,21.2,19.6,3.0,1.4,12.2,9.0,22.8,12.6,0.2,0.0,0.0,0.4,1.8,4.4,0.2,0.0,2.2,6.0,1.0,120.2
Mussurunga,292740821A,Salvador,Salvador (Mussurunga) - 292740821A,-12.908,-38.44,Recôncavo,RPGA do Recôncavo Norte,1.6,12.2,9.2,0.6,8.6,13.4,3.8,30.6,16.8,0.2,0.2,0.0,0.0,0.8,0.0,0.0,0.0,1.2,0.2,0.8,100.2
Itapuã,292740819A,Salvador,Salvador (Itapuã) - 292740819A,-12.948,-38.37,Recôncavo,RPGA do Recôncavo Norte,4.0,12.4,5.4,0.0,4.8,18.0,5.8,29.4,15.4,0.2,0.0,0.0,0.2,3.4,0.0,0.0,0.0,0.6,0.6,0.4,100.6
Tancredo Neves,292740823A,Salvador,Salvador (Tancredo Neves) - 292740823A,-12.945,-38.453,Recôncavo,RPGA do Recôncavo Norte,0.0,11.4,13.8,0.0,4.8,18.6,12.4,43.8,13.6,0.0,0.0,0.0,0.8,2.0,1.4,0.0,1.0,1.2,0.8,0.2,125.81
Estação Rádio Marinha,A456,Salvador,Salvador (Estação Rádio Marinha) - A456,-12.808,-38.496,Recôncavo,RPGA do Recôncavo Norte,1.4,17.0,10.2,0.2,2.2,12.0,2.8,15.2,8.4,1.0,0.0,0.0,0.0,2.2,1.0,0.0,0.0,1.4,7.4,0.0,82.41
Cachoeira,290490201A,Cachoeira,Cachoeira - 290490201A,-12.607999999999999,-38.961,Recôncavo,RPGA do Rio Paraguaçu,8.4,9.8,33.8,0.0,4.8,7.4,17.2,35.2,8.2,0.0,0.0,0.0,1.6,2.8,11.6,0.0,0.0,2.8,4.8,0.2,148.61
Santanópolis,292830701C,Santanópolis,Santanópolis - 292830701C,-12.02,-38.849000000000004,Recôncavo,RPGA do Recôncavo Norte,1.2,0.6,1.4,0.0,0.6,0.6,3.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,9.8
Centro,291345701A,Igrapiúna,Igrapiúna (Centro) - 291345701A,-13.819,-39.141999999999996,Recôncavo,RPGA do Recôncavo Sul,1.2,6.6,2.8,1.6,0.4,23.4,8.4,11.0,37.0,0.0,0.2,0.0,0.4,3.8,0.0,0.0,0.0,5.2,14.0,1.8,117.81
