nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_03_22,02_03_22,03_03_22,04_03_22,05_03_22,06_03_22,07_03_22,08_03_22,09_03_22,10_03_22,11_03_22,12_03_22,13_03_22,14_03_22,total
Federação,292740803A,Salvador,Salvador (Federação) - 292740803A,-13.000791,-38.511056,Recôncavo,RPGA do Recôncavo Norte,0.0,0.39,40.45,26.25,24.4,3.94,5.71,0.0,7.87,0.8,0.98,2.17,0.0,0.0,112.97
Cabula,292740810A,Salvador,Salvador (Cabula) - 292740810A,-12.961347,-38.460778,Recôncavo,RPGA do Recôncavo Norte,0.0,1.96,48.46,30.94,50.85,2.17,6.71,7.87,5.51,7.69,0.98,5.52,0.0,0.0,168.66
J. Zoológico,A401,Salvador,Salvador (J. Zoológico) - A401,-13.005515,-38.50576,Recôncavo,RPGA do Recôncavo Norte,0.2,0.6,36.4,37.6,25.6,7.8,7.4,0.0,10.8,0.6,3.6,4.0,0.0,0.0,134.6
Cruz das Almas,A406,Cruz das Almas,Cruz das Almas - A406,-12.675422,-39.08958,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,9.0,9.0,8.2,1.4,8.2,2.0,18.8,6.6,5.6,1.4,0.0,1.2,71.4
Caminho das Árvores,292740815A,Salvador,Salvador (Caminho das Árvores) - 292740815A,-12.97718,-38.453834,Recôncavo,RPGA do Recôncavo Norte,0.0,2.17,41.66,24.13,41.17,0.8,10.27,0.2,10.04,6.3,1.18,5.91,0.0,3.55,147.39
Águas Claras,292740808A,Salvador,Salvador (Águas Claras) - 292740808A,-12.8944,-38.441889,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,56.12,23.23,28.14,0.6,0.6,2.56,4.33,3.35,7.5,1.19,0.0,0.59,128.21
Alto do Peru,292740812A,Salvador,Salvador (Alto do Peru) - 292740812A,-12.939122,-38.486334,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,56.0,33.53,40.75,0.79,4.73,6.69,15.55,4.32,3.36,1.39,0.0,0.2,167.31
CAB,292740811A,Salvador,Salvador (CAB) - 292740811A,-12.943354,-38.421264,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,42.26,25.55,29.96,21.19,5.58,10.57,2.96,0.6,2.75,0.99,0.0,0.0,142.42
Cosme de Farias,292740816A,Salvador,Salvador (Cosme de Farias) - 292740816A,-12.979402,-38.4855,Recôncavo,RPGA do Recôncavo Norte,0.0,1.18,47.03,22.73,33.47,4.92,8.48,0.79,5.53,3.34,6.5,2.55,0.0,0.0,136.53
São Caetano,292740814A,Salvador,Salvador (São Caetano) - 292740814A,-12.939678,-38.474667,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,53.56,30.53,41.17,0.59,5.31,5.71,17.96,3.75,5.92,0.79,0.59,0.0,165.88
Pirajá,292740801A,Salvador,Salvador (Pirajá) - 292740801A,-12.8994,-38.458833,Recôncavo,RPGA do Recôncavo Norte,2.56,0.2,55.21,31.55,36.62,3.16,6.53,4.15,8.91,2.2,5.34,1.39,0.0,0.2,158.02
Rio Sena,292740805A,Salvador,Salvador (Rio Sena) - 292740805A,-12.891344,-38.470778,Recôncavo,RPGA do Recôncavo Norte,0.2,0.0,73.49,26.1,30.8,2.17,2.96,6.48,3.55,4.53,5.52,2.17,0.0,0.2,158.17
