nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_02_22,02_02_22,03_02_22,04_02_22,05_02_22,06_02_22,07_02_22,08_02_22,09_02_22,10_02_22,11_02_22,12_02_22,13_02_22,14_02_22,15_02_22,16_02_22,17_02_22,18_02_22,19_02_22,20_02_22,21_02_22,total
Fazenda Morete,CT-FR-01,Correntina,Correntina (Fazenda Morete) - CT-FR-01,-13.223149,-45.154136,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,26.0,0.0,0.0,4.4,30.4,0.0,19.6,5.8,46.2,3.0,22.4,22.2,47.6,0.0,0.0,2.2,0.4,3.0,6.2,10.0,249.4
Fazenda Lagoa do Casamento,CT-FR-08,Cocos,Cocos (Fazenda Lagoa do Casamento) - CT-FR-08,-14.39901,-45.520267,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.2,24.4,11.6,5.8,0.2,27.6,4.0,18.4,0.2,1.0,5.8,30.6,21.4,1.4,71.4,0.2,30.8,0.2,8.0,19.0,1.6,283.8
Fazenda Vereda Nova,GR-FR-20,São Desidério,São Desidério (Fazenda Vereda Nova) - GR-FR-20,-12.833418,-45.307751,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,0.0,9.8,45.4,2.6,0.6,0.8,13.4,1.4,0.6,0.8,0.6,1.2,2.2,1.0,0.4,0.6,0.4,0.6,82.4
Fazenda Vale do Urso,GR-FR-23,Luís Eduardo Magalhães,Luís Eduardo Magalhães (Fazenda Vale do Urso) - GR-FR-23,-11.905058,-45.698311,Oeste,RPGA do Rio Grande,0.2,0.0,0.0,0.0,0.0,0.0,6.6,2.4,0.0,4.6,0.2,9.4,7.2,1.6,0.0,1.4,16.2,3.6,0.2,22.8,8.0,84.4
Bebedouro,45760000,Jaborandi,Jaborandi (Bebedouro) - 45760000,-13.7372,-45.4639,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,17.0,3.4,0.0,56.8,38.0,0.0,0.0,0.0,0.2,0.6,18.4,17.0,0.4,12.2,0.0,37.0,3.8,3.8,2.6,1.4,212.6
Rio de Pedras,46520000,Barreiras,Barreiras (Rio de Pedras) - 46520000,-12.1944,-45.4897,Oeste,RPGA do Rio Grande,0.0,0.2,0.0,0.0,0.2,0.4,0.2,3.8,4.6,0.2,17.2,12.6,6.8,15.0,9.0,0.0,4.6,0.0,0.2,8.2,6.4,89.6
J. Zoológico,A401,Salvador,Salvador (J. Zoológico) - A401,-13.005514999999999,-38.505759999999995,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,13.0,1.6,0.2,0.0,0.0,0.0,0.0,0.2,6.6,14.2,4.2,0.0,0.0,4.0,0.0,0.0,7.0,51.0
Cruz das Almas,A406,Cruz das Almas,Cruz das Almas - A406,-12.675422,-39.08958,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.2,0.0,0.2,1.0,0.0,0.2,0.0,0.0,0.6,0.0,4.0,0.0,4.4,0.0,0.4,0.0,0.0,0.8,0.2,18.0,30.0
Feira de Santana,A413,Feira de Santana,Feira de Santana - A413,-12.1962,-38.967384,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.8
Periperi,292740820A,Salvador,Salvador (Periperi) - 292740820A,-12.867344000000001,-38.458110999999995,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,2.2,0.0,14.8,5.2,0.0,0.4,22.0,53.6,2.4,39.4,3.0,1.2,0.0,16.0,0.0,6.4,11.8,178.4
